iteration,z_norm,PSNR_obs,RelMSE_obs,PSNR_holdout,RelMSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_abs_D_drift,mean_rel_D_drift,mean_lambda1,mean_lambda2,mean_lambda3,mean_FA_pred,n_observed_vols,n_holdout_vols,subject,sampling_ratio,lambda_dis,lambda_z,loss_signal,loss_dis,loss_z,loss_total
500,0.3620968759059906,-12.616153812913133,24.19813411157823,-6.349125039793561,7.160946174230683,0.18086961774656996,0.000318880518649234,0.000464767777282473,0.00033036157720826295,0.00017819186848038257,0.5327721704512943,0.0009475281347233218,0.000777923848280852,0.0007113507002149951,0.12374170869588852,63,45,120717,0.5,0.1,0.0,11.393117904663086,0.810204267501831,0.13096468150615692,11.474138259887695
1000,0.5564450025558472,-4.513732763673185,3.745758506261406,2.2076019454851443,0.9983842261389414,0.1861586122019803,0.0003297396818281808,0.00048073888263152367,0.00034171491751111696,0.00027205964667178996,1.2145070091719807,0.0009407931280116188,0.0007724317759787233,0.0007048413558500415,0.12400290369987488,63,45,120717,0.5,0.1,0.0,1.2524957656860352,1.3852673768997192,0.3095642328262329,1.3910224437713623
0,0.0,-28.06488409583863,194.55850276164765,-22.296576862951593,43.648029486668385,0.1747288505215207,0.0003093042149979242,0.0004208497547848601,0.0003233813504104159,0.0,0.0,0.0009244154929245337,0.0007805494383078752,0.0007191751748216606,0.12352876365184784,63,45,121618,0.5,0.0,0.0,,,,
10,0.02154931239783764,-27.011250145827134,152.6464893011486,-21.389272433006393,35.41882903069067,0.1749775205360677,0.0003097216313082183,0.00042194665483154205,0.0003236360127911077,1.102163809318077e-05,0.010627309079713973,0.0009238628089290081,0.0007800454120655499,0.0007186283577572291,0.1232890859246254,63,45,121618,0.5,0.0,0.0,6.623916149139404,0.0007807147921994328,0.0004007764218840748,6.623916149139404
50,0.06622643023729324,-25.079378212787432,97.83621148583536,-19.547603258621656,23.17753692274527,0.17565900983923036,0.00031072084262000595,0.0004248011852688175,0.0003241982566810216,3.687679589597514e-05,0.03980659988151456,0.000922692760481806,0.0007788198679118648,0.0007172468298867591,0.12273937463760376,63,45,121618,0.5,0.0,0.0,1.3545595407485962,0.017260916531085968,0.004343141335994005,1.3545595407485962
100,0.10740555822849274,-24.091575626447103,77.93263643475501,-18.02156110036439,16.31034193325911,0.17636677797178943,0.00031178218547297046,0.00042796670477189227,0.000324753106341194,6.058460752771922e-05,0.08195621117243514,0.0009222686188934388,0.0007778173512624038,0.0007159407726910767,0.12234468758106232,63,45,121618,0.5,0.0,0.0,1.63933265209198,0.017422586679458618,0.011422600597143173,1.63933265209198
200,0.16102224588394165,-22.751459186226896,57.241067512417075,-16.867137103464852,12.503185257242883,0.1772787672573243,0.0003132146398837748,0.00043217027760056006,0.000325489451344745,8.805405895529885e-05,0.1542172372964079,0.0009220052371844375,0.0007766155578111411,0.0007142206735340796,0.12204451858997345,63,45,121618,0.5,0.0,0.0,20.948318481445312,0.3854466378688812,0.02585381455719471,20.948318481445312
500,0.24256299436092377,-20.864061052241777,37.06533341535096,-15.630349003798242,9.404633076020023,0.1789030917898726,0.00031637144881076733,0.0004387272512121667,0.0003279952995396926,0.00012819479294016504,0.29036887871570594,0.0009192052098044522,0.0007736179427218387,0.0007107990742967424,0.12170873582363129,63,45,121618,0.5,0.0,0.0,2.8459930419921875,0.2627260088920593,0.058994755148887634,2.8459930419921875
1000,0.38905003666877747,-17.969307415008203,19.03235577215669,-11.797782130949734,3.8912144752750684,0.18242675401369657,0.0003266251955587424,0.0004521723128122682,0.0003381306244454894,0.00020399890681949072,0.5502452175746422,0.0009063386634109398,0.0007640475265950599,0.0007015992078708548,0.12236955761909485,63,45,121618,0.5,0.0,0.0,1.134872317314148,1.833362340927124,0.15105469524860382,1.134872317314148
0,0.0,-28.06488409583863,194.55850276164765,-22.296576862951593,43.648029486668385,0.1747288505215207,0.0003093042149979242,0.0004208497547848601,0.0003233813504104159,0.0,0.0,0.0009244154929245337,0.0007805494383078752,0.0007191751748216606,0.12352876365184784,63,45,121618,0.5,0.01,0.0,,,,
10,0.02154930680990219,-27.011250540784097,152.64650318315697,-21.389270944518195,35.41881689134691,0.17497752046189954,0.00030972163126383634,0.00042194665439999353,0.0003236360128033835,1.102163197636556e-05,0.010627302452132682,0.0009238628094538672,0.0007800454122114634,0.0007186283580320454,0.1232890784740448,63,45,121618,0.5,0.01,0.0,6.623915195465088,0.0007807151414453983,0.0004007762181572616,6.623922824859619
50,0.06622634083032608,-25.07938104199207,97.83627522110375,-19.54760546214658,23.177548682575374,0.17565900793735706,0.000310720840681066,0.0004248011694526269,0.0003241982585163332,3.687673730336988e-05,0.03980647179055708,0.0009226927434930423,0.0007788198636565628,0.0007172468297611096,0.12273937463760376,63,45,121618,0.5,0.01,0.0,1.3545598983764648,0.01726076938211918,0.0043431296944618225,1.3547325134277344
100,0.10740526765584946,-24.09157744425913,77.93266905476723,-18.021566271791432,16.310361355056312,0.17636677138452184,0.0003117821867461481,0.00042796666797387733,0.0003247531189344165,6.0584450987613026e-05,0.08195564270345781,0.0009222685584885934,0.0007778173278701609,0.0007159407637155263,0.12234468758106232,63,45,121618,0.5,0.01,0.0,1.6393324136734009,0.017422489821910858,0.011422540992498398,1.6395066976547241
200,0.16102148592472076,-22.75145252258752,57.24097968409904,-16.86713637771478,12.503183167834141,0.17727875270523857,0.0003132146659331808,0.00043217018861854543,0.0003254895162794193,8.805380841400596e-05,0.15421516784606012,0.0009220049668175691,0.0007766154503030473,0.0007142206195390752,0.12204451858997345,63,45,121618,0.5,0.01,0.0,20.94936752319336,0.38543039560317993,0.02585357427597046,20.953222274780273
500,0.24255900084972382,-20.864059758014175,37.06532236962682,-15.630350121003648,9.404635495325058,0.1789030272267618,0.00031637168159121405,0.0004387266257663486,0.00032799577028801987,0.00012819366193105695,0.29035053607163414,0.0009192031605493268,0.0007736171471692907,0.0007107986779330802,0.12170863151550293,63,45,121618,0.5,0.01,0.0,2.845932960510254,0.2626774311065674,0.058992840349674225,2.848559617996216
1000,0.38898199796676636,-17.969900575049458,19.034955391627584,-11.799901366304875,3.893113742239609,0.18242603584707018,0.00032662929371284,0.00045216444385307475,0.0003381382902526828,0.00020399479542580556,0.5500077483852899,0.0009063111616842578,0.0007640366397377482,0.0007015934508282384,0.1223689392209053,63,45,121618,0.5,0.01,0.0,1.134641408920288,1.8320465087890625,0.1510017216205597,1.1529618501663208
0,0.0,-28.06488409583863,194.55850276164765,-22.296576862951593,43.648029486668385,0.1747288505215207,0.0003093042149979242,0.0004208497547848601,0.0003233813504104159,0.0,0.0,0.0009244154929245337,0.0007805494383078752,0.0007191751748216606,0.12352876365184784,63,45,121618,0.5,0.1,0.0,,,,
10,0.02154926210641861,-27.01125697688009,152.6467294002324,-21.389277282377815,35.418868579697225,0.1749775196202727,0.00030972163078554494,0.0004219466486590165,0.0003236360139944013,1.10216022222048e-05,0.010627272490492338,0.000923862799686428,0.0007800454081146115,0.0007186283558672396,0.1232890784740448,63,45,121618,0.5,0.1,0.0,6.623916149139404,0.0007807124056853354,0.0004007747629657388,6.62399435043335
