iteration,z_norm,PSNR_obs,RelMSE_obs,MSE_obs,PSNR_holdout,RelMSE_holdout,MSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,n_observed_vols,n_holdout_vols,subject,sampling_ratio,objective,lambda_shape,lambda_z,loss_L_signal,loss_L_directional,loss_L_angular,loss_L_z,loss_L_total
1000,0.34465527534484863,-5.598410054398037,6.3798401082271345,3.6294515676571577,1.2450528728422514,1.8381722890903864,0.7507489141303242,0.17950897289063067,0.0003402089130225201,0.000467620225818424,0.0003541594516800105,0.0007919270003517118,0.00017192513599783966,63,45,106319,0.5,combined,0.01,0.0,3.3057119846343994,1.2989017963409424,0.04986308142542839,0.1186988353729248,3.3387691974639893
0,0.0,-16.252616823616705,74.17037443600401,42.195067149618474,-10.830517741174376,29.644441735591176,12.107424627757725,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,63,45,106319,0.5,combined,0.1,0.0,,,,,
10,0.010298567824065685,-16.247326210230568,74.08007445004266,42.143696046260544,-10.83387138579877,29.667342168783215,12.11677765492176,0.1733581830536705,0.0003323644688848237,0.00044489472313384435,0.00034852109638579173,0.0007727607421013217,2.3369105944936806e-06,63,45,106319,0.5,combined,0.1,0.0,14.935845375061035,81.42255401611328,0.04512856528162956,9.254610631614923e-05,15.387130737304688
50,0.039283573627471924,-15.908668131804992,68.52287910480747,38.98224199484455,-10.392857627334886,26.8026209649512,10.946764187834155,0.1736412471223195,0.00033288949756110793,0.0004455249472030364,0.00034913697907010944,0.0007733761800308809,1.6777651580041545e-05,63,45,106319,0.5,combined,0.1,0.0,1.1878975629806519,12.105621337890625,0.04229937866330147,0.0014706575311720371,1.306687355041504
100,0.06482408940792084,-15.611799796744636,63.99540159773399,36.406588051042704,-9.816623387461364,23.472202363628167,9.586549934044067,0.17416771992943586,0.00033340006337418033,0.00044777125754994954,0.00034928431277471026,0.0007750945178723923,3.1423921426235165e-05,63,45,106319,0.5,combined,0.1,0.0,5.79484748840332,51.10585021972656,0.04441171884536743,0.004168706480413675,6.238964557647705
200,0.1510901004076004,-14.815392561489498,53.27310930236962,30.306742299406356,-6.8970599152725764,11.983881157275158,4.894473613430033,0.175822591409359,0.0003352185210658499,0.0004536300836142094,0.00035060210714345707,0.0007795792354099007,8.311694461686456e-05,63,45,106319,0.5,combined,0.1,0.0,4.81524658203125,3.443573474884033,0.04641253128647804,0.022389117628335953,5.279371738433838
500,0.28488925099372864,-9.857497062829601,17.010555466645616,9.677199766420534,-1.2016156875765858,3.228888667612549,1.3187472553279436,0.1783476208709782,0.0003381881425954054,0.000463620682804383,0.0003523059688532587,0.0007878308606604615,0.00014692105805484993,63,45,106319,0.5,combined,0.1,0.0,0.5660831332206726,2.0967934131622314,0.04859668016433716,0.0810629278421402,0.6226914525032043
1000,0.34464794397354126,-5.59889550593695,6.380553282451113,3.6298572880610114,1.2437017694533101,1.838744239063156,0.7509825107434068,0.1795084652236408,0.0003402121837416899,0.0004676128092425913,0.0003541662671518689,0.0007919232078006761,0.00017193008152038058,63,45,106319,0.5,combined,0.1,0.0,3.310105323791504,1.2999569177627563,0.04985861852765083,0.11869373172521591,3.641115665435791
0,0.0,-16.252616823616705,74.17037443600401,42.195067149618474,-10.830517741174376,29.644441735591176,12.107424627757725,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,63,45,106319,0.5,combined,1.0,0.0,,,,,
10,0.0106620779260993,-16.24877522296006,74.10479520628128,42.15775953154573,-10.837542210993638,29.692428756200272,12.127023554272094,0.17335346492466402,0.00033236527360428576,0.0004448556239718244,0.0003485341335446091,0.0007727323214284791,2.6702365975150684e-06,63,45,106319,0.5,combined,1.0,0.0,14.935393333435059,81.41973114013672,0.04511692747473717,9.922611207002774e-05,19.447086334228516
