iteration,z_norm,PSNR_obs,RelMSE_obs,MSE_obs,PSNR_holdout,RelMSE_holdout,MSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,n_observed_vols,n_holdout_vols,subject,sampling_ratio,objective,lambda_shape,lambda_z,loss_L_signal,loss_L_directional,loss_L_angular,loss_L_z,loss_L_total
50,0.03149177134037018,-24.19323311465545,347.9283436160162,262.6172875913168,-20.233250920533443,175.13905312761958,105.51764554096789,0.17472617439728172,0.00031283977912068,0.00044261799312419277,0.000326546203773269,0.0007515192592861446,1.3903301294499872e-05,63,45,120717,0.5,signal,0.0,0.0,5.743503570556641,58.027854919433594,0.04783286154270172,0.0009865104220807552,5.743503570556641
100,0.05547541752457619,-24.17165622168795,346.20403099305065,261.3157715972579,-20.168537696316772,172.5486933909758,103.95700754713562,0.174994996684426,0.000313041547903635,0.0004430073665173443,0.00032681008507940546,0.0007517103389124785,2.5673849867295963e-05,63,45,120717,0.5,signal,0.0,0.0,6.208613872528076,58.98466873168945,0.04368859902024269,0.0030694440938532352,6.208613872528076
200,0.1894976794719696,-23.109619057658136,271.0993047644523,204.62651402642112,-18.061737951548743,106.22621336641454,63.99908946058432,0.17726673854544805,0.0003146626668310732,0.00045159836528537307,0.0003273319800384729,0.0007577830026858596,9.397664584699673e-05,63,45,120717,0.5,signal,0.0,0.0,10.108414649963379,54.03493118286133,0.047994084656238556,0.035788990557193756,10.108414649963379
500,0.362137109041214,-12.613982309730623,24.18603789740906,18.25568910019085,-6.346141743109207,7.156028798571243,4.311358870362197,0.18087230031206084,0.0003188846385744363,0.0004648003401462938,0.000330356361698009,0.0007695910377247592,0.0001782203026564663,63,45,120717,0.5,signal,0.0,0.0,11.393632888793945,2.2105581760406494,0.053590014576911926,0.13099367916584015,11.393632888793945
1000,0.5563938617706299,-4.486171602896174,3.7220624736745007,2.8094231729525245,2.2145918481761115,0.9967786345623117,0.6005384451171808,0.1861684055993489,0.0003297502887756089,0.00048095895318615156,0.000341648172204119,0.0007906781922713589,0.0002720558851778043,63,45,120717,0.5,signal,0.0,0.0,1.251582384109497,0.3709123432636261,0.050071049481630325,0.3095075190067291,1.251582384109497
0,0.0,-22.97064856533528,286.666226444442,198.18229645652804,nan,nan,nan,0.17439340322873245,0.00031255708485506154,0.0004417832094499269,0.00032630802206275763,0.0007509605315867634,0.0,108,0,120717,1.0,signal,0.0,0.0,,,,,
10,0.019980426877737045,-22.97060245841173,286.6631830653113,198.18019246306991,nan,nan,nan,0.17466865876136906,0.0003127693992515354,0.0004428380532664742,0.0003263522745651798,0.0007516941562462036,9.88918437567321e-06,108,0,120717,1.0,signal,0.0,0.0,5126.7333984375,213.4139862060547,0.047831129282712936,0.000351862923707813,5126.7333984375
50,0.036768991500139236,-22.939390076840063,284.61034434489073,196.76099391668419,nan,nan,nan,0.17487686209300055,0.00031294666776220977,0.00044346105025112767,0.0003264749747221313,0.0007521296752296999,1.763774771167066e-05,108,0,120717,1.0,signal,0.0,0.0,4.320328235626221,58.177894592285156,0.047331102192401886,0.0013426493387669325,4.320328235626221
100,0.08037738502025604,-22.945215002468558,284.99233086115294,197.02507443271577,nan,nan,nan,0.175523679497368,0.0003134502802270777,0.00044549157110777414,0.0003267713857306956,0.0007535332926177472,4.0009910543409886e-05,108,0,120717,1.0,signal,0.0,0.0,4.231097221374512,48.70463562011719,0.043901924043893814,0.006442663259804249,4.231097221374512
200,0.22812141478061676,-17.317765422143715,77.99885281834486,53.9233099212341,nan,nan,nan,0.17803232502722588,0.000315078506051356,0.00045600453306308606,0.0003267427801209706,0.0007610548376842221,0.0001123996603941415,108,0,120717,1.0,signal,0.0,0.0,5.773033618927002,43.42106628417969,0.0484907440841198,0.05201902240514755,5.773033618927002
500,0.31838080286979675,-12.650606941717978,26.630073630229585,18.410292737669845,nan,nan,nan,0.1797432467384907,0.0003170297300012896,0.0004625174411791529,0.00032807061737186887,0.0007667919680393973,0.000153628886758432,108,0,120717,1.0,signal,0.0,0.0,8.632132530212402,3.0793814659118652,0.05235971510410309,0.10128089785575867,8.632132530212402
1000,0.3948447108268738,-10.139776840739492,14.937893442654081,10.327083393836245,nan,nan,nan,0.18196978100930744,0.0003206448164222011,0.0004702950010911293,0.00033132569514502665,0.0007751335588011453,0.0001969799835794405,108,0,120717,1.0,signal,0.0,0.0,59.17106628417969,22.586620330810547,0.04872085899114609,0.15545383095741272,59.17106628417969
0,0.0,-29.585924173909113,324.4805959439076,909.0597254000431,-22.32784351302471,43.00284182706094,170.91664186581752,0.1747288505215207,0.0003093042149979242,0.0004208497547848601,0.0003233813504104159,0.00072880006256572,0.0,40,68,121618,0.25,signal,0.0,0.0,,,,,
10,0.01844966784119606,-28.765153662076326,268.6035076575589,752.5153552013301,-21.621631896421896,36.54904175294103,145.26573627269457,0.1749174644256131,0.0003096557513586164,0.0004216884661847741,0.0003236171901284076,0.0007294998361016514,8.813395985936275e-06,40,68,121618,0.25,signal,0.0,0.0,8.547348022460938,0.1503741592168808,0.04330015927553177,0.0003043354954570532,8.547348022460938
