iteration,z_norm,PSNR_obs,RelMSE_obs,PSNR_holdout,RelMSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_abs_D_drift,mean_rel_D_drift,mean_lambda1,mean_lambda2,mean_lambda3,n_observed_vols,n_holdout_vols,subject,lambda_dis,lambda_z,sampling_ratio
500,0.38931792974472046,-26.874796491998477,431.13838266523277,-23.199527609336698,165.9056392793902,0.1533635809193541,0.0003732319672408485,0.0004567996960277342,0.00038817774572125316,0.00012690585144858882,12.897270113454983,0.0009075275217629625,0.000783668839130369,0.0007277216936001362,63,45,116726,0.0,0.0,0.5
1000,0.5768490433692932,-26.681936574681067,412.4114330543906,-23.30050114659201,169.80813887006406,0.15284681772668932,0.00037372137057451366,0.0004554491740591562,0.00038941499303893383,0.00015316046314576943,15.49218957361138,0.0009060451535974633,0.0007818270838001874,0.0007262249636652964,63,45,116726,0.0,0.0,0.5
0,0.0,-27.558568981992554,504.65425250212087,-23.318394741191945,170.5092175678996,0.1566807853915402,0.0003758220527910952,0.0004692771534623666,0.00038830204935810363,0.0,0.0,0.0009036691894403113,0.0007836907414517349,0.0007275344335784575,63,45,116726,0.01,0.0,0.5
10,0.02051430754363537,-27.50541094328508,498.51488849009434,-23.301320774719187,169.84018916471206,0.156523578283535,0.0003754127884963726,0.00046866481564407966,0.00038793548613011647,8.827454727255559e-06,0.012716314753895777,0.0009042985065538804,0.0007838741977700798,0.0007276450033746794,63,45,116726,0.01,0.0,0.5
50,0.05959397554397583,-27.45714628702531,493.0053903390873,-23.273979374715598,168.77430367651635,0.1562165965467467,0.000374651054596539,0.0004675070123473919,0.00038725639193751163,2.7835588242311856e-05,0.13289067005469374,0.0009057356121043572,0.0007842193414174664,0.0007277684067545789,63,45,116726,0.01,0.0,0.5
100,0.07747898250818253,-27.37197896128011,483.43148873334917,-23.251234014687725,167.8926905305742,0.15593931594710625,0.0003742439649106641,0.0004661215759212752,0.00038712158523151384,3.402429109571112e-05,0.39416964048013875,0.0009055300562411619,0.0007842820412927838,0.0007280367880548574,63,45,116726,0.01,0.0,0.5
200,0.1478821188211441,-27.30014047633653,475.50061901943303,-23.189304749879938,165.51557320061727,0.1552928726479164,0.00037355570924598,0.0004628557283164248,0.00038708821301120856,5.618186326298125e-05,2.1161399994089183,0.0009042683287436069,0.0007840991275032494,0.0007284605445079129,63,45,116726,0.01,0.0,0.5
500,0.38931146264076233,-26.87478726436869,431.137466609118,-23.199516017746497,165.90519646749732,0.15336370624713264,0.0003732316208741018,0.0004567998798590357,0.000388177278084318,0.00012690168426662918,12.896470801852157,0.0009075259971194902,0.0007836681548177734,0.0007277212960862504,63,45,116726,0.01,0.0,0.5
1000,0.5761626958847046,-26.68149002864734,412.3690306684756,-23.298649221335314,169.7357444568303,0.15285520728342755,0.00037370899321113676,0.0004554643345254475,0.0003893958660424686,0.00015292989160849133,15.46116330470586,0.000905996625031511,0.0007818173100662992,0.0007262264669794643,63,45,116726,0.01,0.0,0.5
0,0.0,-27.558568981992554,504.65425250212087,-23.318394741191945,170.5092175678996,0.1566807853915402,0.0003758220527910952,0.0004692771534623666,0.00038830204935810363,0.0,0.0,0.0009036691894403113,0.0007836907414517349,0.0007275344335784575,63,45,116726,0.1,0.0,0.5
10,0.020514067262411118,-27.505411936273045,498.51500247250954,-23.3013186525228,169.8401061716824,0.15652358685773327,0.00037541280258127237,0.00046866484733739506,0.0003879354963913702,8.827182247811938e-06,0.012715472126385588,0.0009042984681602256,0.000783874178701023,0.0007276449879812886,63,45,116726,0.1,0.0,0.5
50,0.0595877505838871,-27.457159669281644,493.0069094775859,-23.273977110442722,168.77421568300176,0.1562167324636155,0.00037465124102089274,0.0004675075203406737,0.00038725651370226415,2.783089152821382e-05,0.1327995226360809,0.000905735063821657,0.0007842191338305121,0.0007277682646176912,63,45,116726,0.1,0.0,0.5
100,0.07744419574737549,-27.372050570284806,483.43945989913476,-23.251219623321898,167.89213417970484,0.1559399798190772,0.00037424473726984964,0.0004661239939873385,0.00038712202485492866,3.399995404600931e-05,0.39325633464284226,0.0009055276880519385,0.0007842811844704691,0.0007280361990352289,63,45,116726,0.1,0.0,0.5
200,0.1476413756608963,-27.30118406265447,475.614892993856,-23.189353082539583,165.51741523470102,0.15529757560065532,0.00037356100079995126,0.0004628723343856594,0.0003870913882199001,5.6028026935185656e-05,2.0976029155814393,0.0009042473799618757,0.0007840933294077562,0.0007284580292748426,63,45,116726,0.1,0.0,0.5
500,0.3877602219581604,-26.877304419201433,431.3874247283529,-23.192914383964887,165.65319848336173,0.1533975131742786,0.00037317764771784,0.00045687491257397306,0.00038809403498642995,0.00012575331373734685,12.711320607678104,0.0009072642655684285,0.0007835526700584107,0.0007276512975130964,63,45,116726,0.1,0.0,0.5
1000,0.5794933438301086,-26.679067821321965,412.1391026275094,-23.30043406554997,169.80551603707747,0.1528537935475536,0.00037372813229773547,0.00045546067626693815,0.0003894275461441406,0.00015329559900733285,15.48370292053057,0.0009059772487283314,0.000781807195515472,0.0007262230445633151,63,45,116726,0.1,0.0,0.5
